ATP5J2-PTCD1	G3V325
PPP6R2	O75170
CNOT3	O75175
ANKRD17	O75179
PEX11A	O75192
TMEM127	O75204
GGCT	O75223
NDUFS7	O75251
NDUFS2	O75306
ZNF259	O75312
DUSP11	O75319
PDCD6	O75340
TBCA	O75347
ATP6V1G1	O75348
MPDU1	O75352
ENTPD6	O75354
H2AFY	O75367
NCOR1	O75376
NDUFS6	O75380
PEX14	O75381
TRIM3	O75382
ULK1	O75385
SPAG7	O75391
MRPL33	O75394
SEC22B	O75396
PRPF40A	O75400
NME6	O75414
MTX2	O75431
VPS26A	O75436
PMPCB	O75439
SAP30	O75446
MED24	O75448
NDUFS3	O75489
SRSF10	O75494
HSBP1	O75506
ECI2	O75521
TADA3	O75528
TAF5L	O75529
EED	O75530
BANF1	O75531
SF3B1	O75533
WBP4	O75554
CRCP	O75575
MED6	O75586
ERAL1	O75616
DEDD	O75618
CREG1	O75629
SNRNP200	O75643
TIPRL	O75663
SURF6	O75683
PPM1B	O75688
STK16	O75716
CDC123	O75794
POP7	O75817
ZNF189	O75820
EIF3G	O75821
EIF3J	O75822
PSMD10	O75832
ZMPSTE24	O75844
PPP1R37	O75864
SCO1	O75880
ATRN	O75882
STAM2	O75886
TUSC2	O75896
CCNK	O75909
PIAS1	O75925
BCAS2	O75934
DCTN3	O75935
DNAJC8	O75937
SMNDC1	O75940
RAD17	O75943
ATP5H	O75947
FLOT1	O75955
ATP5L	O75964
SNAPC5	O75971
CPD	O75976
GLRX3	O76003
RSL1D1	O76021
CLPX	O76031
CIAO1	O76071
ZFAND5	O76080
SRP72	O76094
JTB	O76095
URI1	O94763
MTA2	O94776
ATG12	O94817
TOMM70A	O94826
TOX4	O94842
KIAA0754	O94854
SUPT7L	O94864
UFL1	O94874
TMCC1	O94876
PROSC	O94903
PRPF6	O94906
PCF11	O94913
GLCE	O94923
UBOX5	O94941
USP19	O94966
AP2A2	O94973
SEC31A	O94979
CAMTA2	O94983
HEXIM1	O94992
RPP14	O95059
YIF1A	O95070
SCAF4	O95104
NDUFB6	O95139
DUSP14	O95147
SNUPN	O95149
UBE4B	O95155
ZFPL1	O95159
UBL3	O95164
GABARAP	O95166
NDUFA3	O95167
NDUFB4	O95168
NDUFB8	O95169
NDUFB2	O95178
NDUFA7	O95182
VAMP5	O95183
OAZ2	O95190
LETM1	O95202
ZRANB2	O95218
SNX4	O95219
LUC7L3	O95232
MBD4	O95243
GOSR1	O95249
ATE1	O95260
CCNDBP1	O95273
VAPB	O95292
SNAPIN	O95295
NDUFA10	O95299
PGLS	O95336
ATG7	O95352
FARS2	O95363
ZBTB7A	O95365
IPO7	O95373
ARIH2	O95376
CNIH	O95406
DEXI	O95424
BAG4	O95429
AHSA1	O95433
PARN	O95453
SGPL1	O95470
NSA2	O95478
SEC24A	O95486
SEC24B	O95487
TDP2	O95551
MPC2	O95563
METTL18	O95568
ACSL3	O95573
ZBTB11	O95625
CNOT4	O95628
STAMBP	O95630
CPSF4	O95639
CDS2	O95674
POP4	O95707
SNAP29	O95721
AP2A1	O95782
WIZ	O95785
STAU1	O95793
TTC4	O95801
TMEM50A	O95807
MAP4K4	O95819
NUDT14	O95848
BPNT1	O95861
ABHD16A	O95870
GPANK1	O95872
C6orf47	O95873
TXNDC12	O95881
TRUB2	O95900
ECD	O95905
SYF2	O95926
MBD3	O95983
NUDT3	O95989
NDUFB10	O96000
CLPTM1	O96005
TOMM40	O96008
PEX11B	O96011
LDHA	P00338
CYB5R3	P00387
GSR	P00390
SOD1	P00441
PGK1	P00558
CST3	P01034
RAF1	P04049
GBA	P04062
CSTB	P04080
OAT	P04181
CAPNS1	P04632
RPN1	P04843
RPN2	P04844
SLC25A5	P05141
EIF2S1	P05198
SSB	P05455
ITGB1	P05556
UROD	P06132
ATP5B	P06576
GPI	P06744
HEXA	P06865
CENPB	P07199
CTSD	P07339
CAPN1	P07384
TUBB	P07437
PFN1	P07737
BPGM	P07738
EPRS	P07814
QARS	P07814
GALT	P07902
HNRNPC	P07910
FH	P07954
ERCC1	P07992
ANXA6	P08133
NR3C2	P08235
SRPR	P08240
HMBS	P08397
CYC1	P08574
SNRPB2	P08579
SNRNP70	P08621
CD63	P08962
MRPL3	P09001
SNRPA	P09012
SRP19	P09132
SNRPC	P09234
HMGB1	P09429
CLTA	P09496
CLTB	P09497
DLD	P09622
COX6C	P09669
PARP1	P09874
H2AFZ	P0C0S5
TFPT	P0C1Z6
FBXO45	P0C2W1
CISD3	P0C7P0
ATXN1L	P0C7T5
ZNF688	P0C7X2
JMJD7	P0C870
UBB	P0CG47
UBC	P0CG48
ZNF865	P0CJ78
PET100	P0DJ07
LOC100129361	P0DMW3
CALM1	P0DP23
GLI4	P10075
FDX1	P10109
COX8A	P10176
GAA	P10253
ARAF	P10398
COX5B	P10606
CTSA	P10619
PRKAR1A	P10644
UROS	P10746
ESD	P10768
HSPA5	P11021
HSPA8	P11142
PDHB	P11177
DBT	P11182
RALA	P11233
LAMP1	P11279
TOP1	P11387
UBL4A	P11441
ADH5	P11766
PSKH1	P11801
CDK4	P11802
ODC1	P11926
PCNA	P12004
HARS	P12081
BCKDHA	P12694
SKIL	P12757
PEPD	P12955
XRCC6	P12956
XRCC5	P13010
UNG	P13051
NR2C1	P13056
COX4I1	P13073
LAMP2	P13473
RNH1	P13489
EEF2	P13639
ALAD	P13716
APEH	P13798
ETFA	P13804
GTF2F2	P13984
CCDC130	P13994
MIF	P14174
FDPS	P14324
TRIM27	P14373
COX7A2	P14406
AKR1A1	P14550
SNRPB	P14678
IDE	P14735
COX6B1	P14854
HNRNPL	P14866
DARS	P14868
UQCRB	P14927
GSPT1	P15170
IFNGR1	P15260
ATF2	P15336
UCHL3	P15374
CD46	P15529
GNS	P15586
HIVEP1	P15822
RPA2	P15927
COX7C	P15954
NQO2	P16083
H2AFX	P16104
NCK1	P16333
MGMT	P16455
ZNF22	P17026
ZNF24	P17028
ZKSCAN1	P17029
ZNF37A	P17032
ZNF3	P17036
ZNF32	P17041
ZNF7	P17097
IFNAR1	P17181
SMPD1	P17405
UBTF	P17480
JUND	P17535
ATF7	P17544
NDUFB7	P17568
PRKACA	P17612
AMD1	P17707
PSMC3	P17980
TCP1	P17987
PTPN1	P18031
ERCC2	P18074
RPL35A	P18077
SON	P18583
NELFE	P18615
ATF1	P18846
ATF4	P18848
ATF6	P18850
ATP5J	P18859
NCL	P19338
POLR2C	P19387
POLR2E	P19388
NDUFV2	P19404
ELK1	P19419
ERCC3	P19447
TFE3	P19532
SRM	P19623
RXRA	P19793
EIF2S2	P20042
ANXA7	P20073
BTF3	P20290
RAB4A	P20338
RAB5A	P20339
RAB6A	P20340
MSH3	P20585
PSMB1	P20618
M6PR	P20645
ATP6V1C1	P21283
SDHB	P21912
COMT	P21964
MUT	P22033
OSBP	P22059
PCMT1	P22061
GART	P22102
PAICS	P22234
SCP2	P22307
UBA1	P22314
NME1-NME2	P22392
NME2	P22392
USF1	P22415
HNRNPA2B1	P22626
UQCRC2	P22695
FECH	P22830
XPA	P23025
ME2	P23368
RPS6KB1	P23443
JAK1	P23458
AHCY	P23526
RRM1	P23921
ZBTB25	P24278
EEF1B2	P24534
ATP5F1	P24539
ACP1	P24666
POLR2A	P24928
NFYB	P25208
BRD2	P25440
YY1	P25490
ATP5A1	P25705
PSMA1	P25786
PSMA2	P25787
PSMA3	P25788
PSMA4	P25789
U2AF2	P26368
TARS	P26639
STOM	P27105
MARK3	P27448
ATP6V0C	P27449
ARNT	P27540
APEX1	P27695
CD82	P27701
CALR	P27797
CANX	P27824
PIK3R1	P27986
PSMA5	P28066
PSMB4	P28070
PSMB6	P28072
